"sciname","country","iso3c","wholefish","trimmings","trim_prop","data_source_feed","data_source_fao_area_country","feed_report_spp_name","capture","trash_fish","genus","subfamily","family","order","class","superclass","phylum","kingdom","isscaap_group","common_name"
"pennahia macrocephalus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Pennahia macrocephalus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bighead pennahia"
"johnius carouna","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Johnius carouna","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"caroun croaker"
"johnius borneensis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Johnius borneensis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bornean croaker"
"johnius distinctus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Johnius distinctus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"distinct croaker"
"johnius trewavasae","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Johnius trewavasae","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"trewavas’ croaker"
"johnius grypotus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Johnius grypotus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"grayfin croaker"
"atrobucca nibe","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Atrobucca nibe","yes","yes","atrobucca",NA,"sciaenidae","eupercaria/misc","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","blackmouth croaker"
"pennahia anea","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Pennahia anea","yes","yes","pennahia",NA,"sciaenidae","eupercaria/misc","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","donkey croaker"
"pennahia argentata","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Pennahia argentata","yes","yes","pennahia",NA,"sciaenidae","eupercaria/misc","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","silver croaker"
"larimichthys crocea","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Larimichthys crocea","yes","yes","larimichthys",NA,"sciaenidae","eupercaria/misc","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","large yellow croaker"
"larimichthys polyactis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Larimichthys polyactis","yes","yes","larimichthys",NA,"sciaenidae","eupercaria/misc","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","yellow croaker"
"chrysochir aureus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Chrysochir aureus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yellowfin tongue sole"
"otolithes ruber","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Otolithes ruber","yes","yes","otolithes",NA,"sciaenidae","eupercaria/misc","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","tigertooth croaker"
