"sciname","common_name","fao_fishing_area","country","iso3c","wholefish","trimmings","trim_prop","capture","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trimmings_tonnes","wholefish_tonnes","importer_iso3c"
"Auxis thazard","frigate tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GRC"
"Auxis thazard","frigate tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"NOR"
"Auxis thazard","frigate tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"TUR"
"Auxis thazard","frigate tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"VNM"
"Auxis thazard","frigate tuna",57,"Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"AUS"
"Auxis thazard","frigate tuna",57,"Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHL"
"Auxis thazard","frigate tuna",57,"Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHN"
"Auxis thazard","frigate tuna",57,"Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CRI"
"Auxis thazard","frigate tuna",57,"Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"DNK"
"Auxis thazard","frigate tuna",57,"Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ECU"
"Auxis thazard","frigate tuna",57,"Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ESP"
"Auxis thazard","frigate tuna",57,"Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"FRA"
"Auxis thazard","frigate tuna",57,"Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GBR"
"Auxis thazard","frigate tuna",57,"Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GRC"
"Auxis thazard","frigate tuna",57,"Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"NOR"
"Auxis thazard","frigate tuna",57,"Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"TUR"
"Auxis thazard","frigate tuna",57,"Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"VNM"
"Cetengraulis mysticetus","pacific anchoveta",77,"Mexico","MEX","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"AUS"
"Cetengraulis mysticetus","pacific anchoveta",77,"Mexico","MEX","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"CHL"
"Cetengraulis mysticetus","pacific anchoveta",77,"Mexico","MEX","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"CHN"
"Cetengraulis mysticetus","pacific anchoveta",77,"Mexico","MEX","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"CRI"
"Cetengraulis mysticetus","pacific anchoveta",77,"Mexico","MEX","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"DNK"
"Cetengraulis mysticetus","pacific anchoveta",77,"Mexico","MEX","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"ECU"
"Cetengraulis mysticetus","pacific anchoveta",77,"Mexico","MEX","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"ESP"
"Cetengraulis mysticetus","pacific anchoveta",77,"Mexico","MEX","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"FRA"
"Cetengraulis mysticetus","pacific anchoveta",77,"Mexico","MEX","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"GBR"
"Cetengraulis mysticetus","pacific anchoveta",77,"Mexico","MEX","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"GRC"
"Cetengraulis mysticetus","pacific anchoveta",77,"Mexico","MEX","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"NOR"
"Cetengraulis mysticetus","pacific anchoveta",77,"Mexico","MEX","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"TUR"
"Cetengraulis mysticetus","pacific anchoveta",77,"Mexico","MEX","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"VNM"
"Cetengraulis mysticetus","pacific anchoveta",77,"Panama","PAN","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"AUS"
"Cetengraulis mysticetus","pacific anchoveta",77,"Panama","PAN","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"CHL"
"Cetengraulis mysticetus","pacific anchoveta",77,"Panama","PAN","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"CHN"
"Cetengraulis mysticetus","pacific anchoveta",77,"Panama","PAN","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"CRI"
"Cetengraulis mysticetus","pacific anchoveta",77,"Panama","PAN","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"DNK"
"Cetengraulis mysticetus","pacific anchoveta",77,"Panama","PAN","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"ECU"
"Cetengraulis mysticetus","pacific anchoveta",77,"Panama","PAN","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"ESP"
