"country","sciname","aquaculture","trim_prop","common_name","wholefish","trimmings","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trash_fish","capture","source_country_iso3c"
"France","sprattus sprattus","no",0,"sprat","yes","no","Shea et al. 2025",NA,"sprat","no","yes","FRA"
"France","trisopterus luscus","no",1,"pouting","no","yes","Shea et al. 2025",NA,"pouting","no","yes","FRA"
"France","zeus faber","no",1,"john dory","no","yes","Shea et al. 2025",NA,"john dory","no","yes","FRA"
"Gambia","ethmalosa fimbriata","no",0,"bonga shad","yes","no","Shea et al. 2025",NA,"bonga shad","no","yes","GMB"
"Gambia","sardinella","no",0,"sardinellas nei","yes","no","Shea et al. 2025",NA,"Round sardinella","No","yes","GMB"
"Gambia","sardinella aurita","no",0,"round sardinella","yes","no","Shea et al. 2025",NA,"round sardinella","no","yes","GMB"
"Gambia","sardinella maderensis","no",0,"flat sardinella","yes","no","Shea et al. 2025",NA,"flat sardinella","no","yes","GMB"
"Georgia","engraulis encrasicolus","no",0,"european anchovy","yes","no","Shea et al. 2025",NA,"european anchovy","no","yes","GEO"
"Germany","engraulis encrasicolus","no",0,"black sea anchovy","yes","no","Shea et al. 2025",NA,"black sea anchovy","no","yes","DEU"
"Iceland","clupea harengus","no",1,"atlantic herring","no","yes","Shea et al. 2025",NA,"atlantic herring","no","yes","ISL"
"Iceland","micromesistius poutassou","no",0,"blue whiting","yes","no","Shea et al. 2025",NA,"blue whiting","no","yes","ISL"
"Iceland","scomber scombrus","no",1,"mackerel","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","ISL"
"India","alutera monoceros","no",0,"yellow-finned leather jacket","yes","no","Shea et al. 2025",NA,"yellow-finned leather jacket","no","yes","IND"
"India","ariidae","no",0,"sea catfishes nei","yes","no","Shea et al. 2025",NA,"catfish","no","yes","IND"
"India","auxis rochei","no",1,"bullet tuna","no","yes","Shea et al. 2025",NA,"tuna","no","yes","IND"
"India","auxis thazard","no",1,"frigate tuna","no","yes","Shea et al. 2025",NA,"tuna","no","yes","IND"
"India","caesio erythrogaster","no",0,"yellowtail fusilier","yes","no","Shea et al. 2025",NA,"yellowtail fusilier","no","yes","IND"
