"sciname","common_name","country","wholefish","trimmings","trim_prop","trimmings_tonnes","wholefish_tonnes","data_source_feed","data_source_fao_area_country","feed_report_spp_name","iso3c","importer_iso3c"
"Clupea harengus","Atlantic herring","Denmark","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","DNK","CHN"
"Clupea harengus","Atlantic herring","Denmark","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","DNK","ECU"
"Clupea harengus","Atlantic herring","Denmark","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","DNK","GBR"
"Clupea harengus","Atlantic herring","Denmark","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","DNK","IND"
"Clupea harengus","Atlantic herring","Denmark","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","DNK","MEX"
"Clupea harengus","Atlantic herring","Denmark","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","DNK","NOR"
"Clupea harengus","Atlantic herring","Denmark","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","DNK","THA"
"Clupea harengus","Atlantic herring","Denmark","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","DNK","USA"
"Clupea harengus","Atlantic herring","Denmark","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","DNK","VNM"
"Clupea harengus","Atlantic herring","Faroe Islands","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","FRO","AUT"
"Clupea harengus","Atlantic herring","Faroe Islands","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","FRO","CAN"
"Clupea harengus","Atlantic herring","Faroe Islands","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","FRO","CHL"
"Clupea harengus","Atlantic herring","Faroe Islands","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","FRO","CHN"
"Clupea harengus","Atlantic herring","Faroe Islands","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","FRO","ECU"
"Clupea harengus","Atlantic herring","Faroe Islands","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","FRO","GBR"
"Clupea harengus","Atlantic herring","Faroe Islands","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","FRO","IND"
"Clupea harengus","Atlantic herring","Faroe Islands","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","FRO","MEX"
"Clupea harengus","Atlantic herring","Faroe Islands","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","FRO","NOR"
"Clupea harengus","Atlantic herring","Faroe Islands","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","FRO","THA"
"Clupea harengus","Atlantic herring","Faroe Islands","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","FRO","USA"
"Clupea harengus","Atlantic herring","Faroe Islands","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","FRO","VNM"
"Clupea harengus","Atlantic herring","Iceland","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","ISL","AUT"
"Clupea harengus","Atlantic herring","Iceland","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","ISL","CAN"
"Clupea harengus","Atlantic herring","Iceland","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","ISL","CHL"
"Clupea harengus","Atlantic herring","Iceland","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","ISL","CHN"
"Clupea harengus","Atlantic herring","Iceland","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","ISL","ECU"
"Clupea harengus","Atlantic herring","Iceland","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","ISL","GBR"
"Clupea harengus","Atlantic herring","Iceland","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","ISL","IND"
"Clupea harengus","Atlantic herring","Iceland","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","ISL","MEX"
"Clupea harengus","Atlantic herring","Iceland","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","ISL","NOR"
"Clupea harengus","Atlantic herring","Iceland","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","ISL","THA"
"Clupea harengus","Atlantic herring","Iceland","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","ISL","USA"
"Clupea harengus","Atlantic herring","Iceland","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","ISL","VNM"
"Clupea harengus","Atlantic herring","Ireland","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","IRL","AUT"
"Clupea harengus","Atlantic herring","Ireland","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","IRL","CAN"
"Clupea harengus","Atlantic herring","Ireland","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","IRL","CHL"
"Clupea harengus","Atlantic herring","Ireland","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","IRL","CHN"
"Clupea harengus","Atlantic herring","Ireland","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","IRL","ECU"
"Clupea harengus","Atlantic herring","Ireland","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","IRL","GBR"
"Clupea harengus","Atlantic herring","Ireland","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","IRL","IND"
"Clupea harengus","Atlantic herring","Ireland","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","IRL","MEX"
"Clupea harengus","Atlantic herring","Ireland","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","IRL","NOR"
"Clupea harengus","Atlantic herring","Ireland","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","IRL","THA"
"Clupea harengus","Atlantic herring","Ireland","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","IRL","USA"
"Clupea harengus","Atlantic herring","Ireland","no","yes",1,33253.91526,0,"cargill",NA,"Atlantic herring","IRL","VNM"
"Clupea harengus","Atlantic herring","Norway","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","NOR","AUT"
"Clupea harengus","Atlantic herring","Norway","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","NOR","CAN"
"Clupea harengus","Atlantic herring","Norway","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","NOR","CHL"
"Clupea harengus","Atlantic herring","Norway","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","NOR","CHN"
"Clupea harengus","Atlantic herring","Norway","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","NOR","ECU"
"Clupea harengus","Atlantic herring","Norway","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","NOR","GBR"
"Clupea harengus","Atlantic herring","Norway","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","NOR","IND"
"Clupea harengus","Atlantic herring","Norway","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","NOR","MEX"
"Clupea harengus","Atlantic herring","Norway","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","NOR","NOR"
"Clupea harengus","Atlantic herring","Norway","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","NOR","THA"
"Clupea harengus","Atlantic herring","Norway","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","NOR","USA"
"Clupea harengus","Atlantic herring","Norway","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","NOR","VNM"
"Coryphaena hippurus","Common dolphinfish","Ecuador","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","ECU","AUT"
"Coryphaena hippurus","Common dolphinfish","Ecuador","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","ECU","CAN"
"Coryphaena hippurus","Common dolphinfish","Ecuador","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","ECU","CHL"
"Coryphaena hippurus","Common dolphinfish","Ecuador","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","ECU","CHN"
