"sciname","country","iso3c","wholefish","trimmings","trim_prop","data_source_feed","data_source_fao_area_country","feed_report_spp_name","capture","trash_fish","genus","subfamily","family","order","class","superclass","phylum","kingdom","isscaap_group","common_name"
"oreochromis","China","CHN","no","yes",1,"Cao 2015; Seafood Watch",NA,"Nile Tilapia","no","no","oreochromis","pseudocrenilabrinae","cichlidae","cichliformes","actinopterygii","osteichthyes","chordata","animalia","Tilapias and other cichlids","tilapias nei"
"oreochromis andersonii","China","CHN","no","yes",1,"Cao 2015; Seafood Watch",NA,"Nile Tilapia","no","no","oreochromis","pseudocrenilabrinae","cichlidae","cichliformes","actinopterygii","osteichthyes","chordata","animalia","Tilapias and other cichlids","three spotted tilapia"
"oreochromis aureus","China","CHN","no","yes",1,"Cao 2015; Seafood Watch",NA,"Nile Tilapia","no","no","oreochromis","pseudocrenilabrinae","cichlidae","cichliformes","actinopterygii","osteichthyes","chordata","animalia","Tilapias and other cichlids","blue tilapia"
"oreochromis macrochir","China","CHN","no","yes",1,"Cao 2015; Seafood Watch",NA,"Nile Tilapia","no","no","oreochromis","pseudocrenilabrinae","cichlidae","cichliformes","actinopterygii","osteichthyes","chordata","animalia","Tilapias and other cichlids","longfin tilapia"
"oreochromis mossambicus","China","CHN","no","yes",1,"Cao 2015; Seafood Watch",NA,"Nile Tilapia","no","no","oreochromis","pseudocrenilabrinae","cichlidae","cichliformes","actinopterygii","osteichthyes","chordata","animalia","Tilapias and other cichlids","mozambique tilapia"
"oreochromis niloticus","China","CHN","no","yes",1,"Cao 2015; Seafood Watch",NA,"Nile Tilapia","no","no","oreochromis","pseudocrenilabrinae","cichlidae","cichliformes","actinopterygii","osteichthyes","chordata","animalia","Tilapias and other cichlids","nile tilapia"
"oreochromis shiranus","China","CHN","no","yes",1,"Cao 2015; Seafood Watch",NA,"Nile Tilapia","no","no","oreochromis","pseudocrenilabrinae","cichlidae","cichliformes","actinopterygii","osteichthyes","chordata","animalia","Tilapias and other cichlids","tilapia shiranus"
"oreochromis spilurus","China","CHN","no","yes",1,"Cao 2015; Seafood Watch",NA,"Nile Tilapia","no","no","oreochromis","pseudocrenilabrinae","cichlidae","cichliformes","actinopterygii","osteichthyes","chordata","animalia","Tilapias and other cichlids","sabaki tilapia"
"sarotherodon galilaeus","China","CHN","no","yes",1,"Cao 2015; Seafood Watch",NA,"Nile Tilapia","no","no","sarotherodon","pseudocrenilabrinae","cichlidae","cichliformes","actinopterygii","osteichthyes","chordata","animalia","Tilapias and other cichlids","mango tilapia"
"sarotherodon melanotheron","China","CHN","no","yes",1,"Cao 2015; Seafood Watch",NA,"Nile Tilapia","no","no","sarotherodon","pseudocrenilabrinae","cichlidae","cichliformes","actinopterygii","osteichthyes","chordata","animalia","Tilapias and other cichlids","blackchin tilapia"
