"sciname","common_name","iso3c","capture","trim_prop","trimmings","wholefish"
"thunnus obesus","bigeye tuna","ECU","yes",1,"yes","no"
"thunnus obesus","bigeye tuna","ESP","yes",1,"yes","no"
"thunnus obesus","bigeye tuna","GBR","yes",1,"yes","no"
"thunnus obesus","bigeye tuna","IDN","yes",1,"yes","no"
"thunnus obesus","bigeye tuna","IND","yes",1,"yes","no"
"thunnus obesus","bigeye tuna","MUS","yes",1,"yes","no"
"thunnus obesus","bigeye tuna","MYS","yes",1,"yes","no"
"thunnus obesus","bigeye tuna","NZL","yes",1,"yes","no"
"thunnus obesus","bigeye tuna","PNG","yes",1,"yes","no"
"thunnus obesus","bigeye tuna","SLV","yes",1,"yes","no"
"thunnus obesus","bigeye tuna","SYC","yes",1,"yes","no"
"thunnus obesus","bigeye tuna","THA","yes",1,"yes","no"
"thunnus obesus","bigeye tuna","TUN","yes",1,"yes","no"
"thunnus obesus","bigeye tuna","TWN","yes",1,"yes","no"
"thunnus orientalis","pacific bluefin tuna","ECU","yes",1,"yes","no"
"thunnus orientalis","pacific bluefin tuna","NZL","yes",1,"yes","no"
"thunnus orientalis","pacific bluefin tuna","TWN","yes",1,"yes","no"
"thunnus thynnus","atlantic bluefin tuna","CAN","yes",1,"yes","no"
"thunnus thynnus","atlantic bluefin tuna","ESP","yes",1,"yes","no"
"thunnus thynnus","atlantic bluefin tuna","GBR","yes",1,"yes","no"
"thunnus thynnus","atlantic bluefin tuna","SYC","yes",1,"yes","no"
"thunnus thynnus","atlantic bluefin tuna","TUR","yes",1,"yes","no"
"thunnus thynnus","atlantic bluefin tuna","TWN","yes",1,"yes","no"
"thunnus tonggol","longtail tuna","ESP","yes",1,"yes","no"
"thunnus tonggol","longtail tuna","IDN","yes",1,"yes","no"
"thunnus tonggol","longtail tuna","IND","yes",1,"yes","no"
"thunnus tonggol","longtail tuna","MYS","yes",1,"yes","no"
"thunnus tonggol","longtail tuna","OMN","yes",1,"yes","no"
"thunnus tonggol","longtail tuna","SYC","yes",1,"yes","no"
"thunnus tonggol","longtail tuna","THA","yes",1,"yes","no"
"thunnus tonggol","longtail tuna","TWN","yes",1,"yes","no"
"todarodes pacificus","japanese flying squid","KOR","yes",1,"yes","no"
"trachinocephalus myops","bighead lizardfish","CHN","yes",0,"no","yes"
"trachinocephalus myops",NA,"VNM","yes",0,"no","yes"
"trachinus draco","greater weever","DNK","yes",1,"yes","no"
"trachurus capensis","cape horse mackerel","ZAF","yes",0,"no","yes"
"trachurus japonicus","japanese jack mackerel","CHN","yes",0,"no","yes"
"trachurus japonicus","japanese jack mackerel","IRL","yes",1,"yes","no"
"trachurus japonicus","japanese jack mackerel","JPN","yes",0,"no","yes"
"trachurus murphyi","chilean jack mackerel","CHL","yes",0.229885057471264,"yes","yes"
"trachurus murphyi","chilean jack mackerel","CHN","yes",0,"no","yes"
"trachurus murphyi","chilean jack mackerel","ECU","yes",0,"no","yes"
"trachurus murphyi","chilean jack mackerel","PER","yes",0,"no","yes"
"trachurus symmetricus","pacific jack mackerel","MEX","yes",0.25,"yes","yes"
"trachurus trachurus","atlantic horse mackerel","GBR","yes",1,"yes","no"
"trachurus trachurus","atlantic horse mackerel","MAR","yes",1,"yes","no"
"trachurus trachurus","atlantic horse mackerel","NAM","yes",0,"no","yes"
"trachurus trachurus","atlantic horse mackerel","NOR","yes",1,"yes","no"
"trachypenaeus curvirostris","eagle-clawed shrimp","CHN","yes",0,"no","yes"
"trachyrhamphus serratus","rough-snouted seahorse","CHN","yes",0,"no","yes"
"tresus keenae","gaper","CHN","yes",0,"no","yes"
"trichiurus japonicus","japanese hairtail","CHN","yes",0,"no","yes"
"trichiurus lepturus","largehead hairtail","CHN","yes",0,"no","yes"
"trichiurus lepturus","largehead hairtail","ECU","yes",0,"no","yes"
"tridentiger barbatus","whiskered tridentiger","CHN","yes",0,"no","yes"
"tridentiger trigonocephalus","patterned tridentiger","CHN","yes",0,"no","yes"
"trisopterus esmarkii","norway pout","DNK","yes",0,"no","yes"
"trisopterus esmarkii","norway pout","FRO","yes",0,"no","yes"
"trisopterus esmarkii","norway pout","NOR","yes",0,"no","yes"
"trisopterus luscus","pouting(=bib)","FRA","yes",1,"yes","no"
"trypauchen vagina","vagina goby","CHN","yes",0,"no","yes"
"upeneus","goatfishes","VNM","yes",0,"no","yes"
"upeneus japonicus","japanese goatfish","CHN","yes",0,"no","yes"
"upeneus subvittatus","band-striped goatfish","CHN","yes",0,"no","yes"
"upeneus sulphureus","sulphur goatfish","CHN","yes",0,"no","yes"
"upeneus sulphureus","sulphur goatfish","VNM","yes",0,"no","yes"
"uranoscopus chinensis","chinese stargazer","CHN","yes",0,"no","yes"
"uranoscopus japonicus","japanese stargazer","CHN","yes",0,"no","yes"
"uranoscopus oligolepis","few-scaled stargazer","CHN","yes",0,"no","yes"
"urophycis chuss","red hake","USA","yes",1,"yes","no"
"urophycis tenuis","white hake","USA","yes",1,"yes","no"
"xenocephalus elongatus","blue stargazer","CHN","yes",0,"no","yes"
"xenocephalus elongatus","bluespotted stargazer","CHN","yes",0,"no","yes"
"xiphias gladius","swordfish","CRI","yes",1,"yes","no"
"zebrias zebra","zebra sole","CHN","yes",0,"no","yes"
"zeus faber","john dory","CHN","yes",0,"no","yes"
"zeus faber","john dory","FRA","yes",1,"yes","no"
