factory_id,country,lat,long,company,data_type,material_type,material_type_simple,comm_name,sci_name,func_group,source,website,date
240,Mexico,26.7053,-109.5123,Industrias Barda SA de CV,A,whole,whole,Bocona sardine,Cetengraulis mysticetus,Small pelagics (<30 cm),MarinTrust,NA,Mar-24
240,Mexico,26.7053,-109.5123,Industrias Barda SA de CV,A,whole,whole,Japanese sardine,Etrumeus teres,Small pelagics (<30 cm),MarinTrust,NA,Mar-24
240,Mexico,26.7053,-109.5123,Industrias Barda SA de CV,A,whole,whole,Anchoveta,Engraulis mordax,Small pelagics (<30 cm),MarinTrust,NA,Mar-24
241,Morocco,30.4278,-9.5982,Cibel S.A. (Complex Industrial et Commercial Bel Hassan S.A.),A,whole,whole,Mackerel,Scomber japonicus,Medium pelagics (30 - 89 cm),IFFO, http://www.cibelmaroc.com/en/ ,Feb-24
241,Morocco,30.4278,-9.5982,Cibel S.A. (Complex Industrial et Commercial Bel Hassan S.A.),A,whole,whole,Sardine,Sardina pilchardus,Small pelagics (<30 cm),IFFO, http://www.cibelmaroc.com/en/ ,Feb-24
242,Morocco,28.4814,-11.3487,Nouvelle Ougala,A,whole,whole,Mackerel,Scomber japonicus,Medium pelagics (30 - 89 cm),IFFO,NA,Feb-24
242,Morocco,28.4814,-11.3487,Nouvelle Ougala,A,whole,whole,Sardine,Sardina pilchardus,Small pelagics (<30 cm),IFFO,NA,Feb-24
242,Morocco,28.4814,-11.3487,Nouvelle Ougala,A,whole,whole,European Anchovy,Engraulis encrasicolus,Small pelagics (<30 cm),IFFO,NA,Feb-24
243,Morocco,23.7235,-15.9357,Protein and oil Industry Sarl,C,NA,NA,NA,NA,NA,IFFO,NA,Feb-24
244,Morocco,28.4784,-11.3461,Sovapec,A,whole,whole,Mackerel,Scomber japonicus,Medium pelagics (30 - 89 cm),IFFO,NA,Feb-24
244,Morocco,28.4784,-11.3461,Sovapec,A,whole,whole,Sardine,Sardina pilchardus,Small pelagics (<30 cm),IFFO,NA,Feb-24
245,Morocco,NA,NA,Marpeche,D,NA,NA,NA,NA,NA,https://www.trade-seafood.com/directory/seafood/fishmeal-processors.htm,NA,Feb-24
246,Morocco,27.0959,-13.4255,Global Fish Trading Sarl,A,NA,NA,NA,NA,NA,https://www.trade-seafood.com/directory/seafood/fishmeal-processors.htm,NA,Feb-24
247,Morocco,33.5982,-7.6343,King Pelagique,A,whole,whole,Mackerel,Scomber japonicus,Medium pelagics (30 - 89 cm),https://www.seafoodfrommorocco.com/find-an-exporter/,https://kingpelagique.com/,Apr-24
247,Morocco,33.5982,-7.6343,King Pelagique,A,whole,whole,Sardine,Sardina pilchardus,Small pelagics (<30 cm),https://www.seafoodfrommorocco.com/find-an-exporter/,https://kingpelagique.com/,Apr-24
