"factory_id","country","common_name","sciname","aquaculture","wholefish","trimmings","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trash_fish","capture","source_country_iso3c"
113,"France","rainbow trout","oncorhynchus mykiss","yes","no","yes","Shea et al. 2025",NA,"rainbow trout","no","no","FRA"
113,"France","saithe","pollachius virens","no","no","yes","Shea et al. 2025",NA,"saithe","no","yes","FRA"
113,"France","pollack","pollachius pollachius","no","no","yes","Shea et al. 2025",NA,"pollack","no","yes","FRA"
113,"France","ling","molva molva","no","no","yes","Shea et al. 2025",NA,"ling","no","yes","FRA"
113,"France","european hake","merluccius merluccius","no","no","yes","Shea et al. 2025",NA,"european hake","no","yes","FRA"
113,"France","turbot","scophthalmus maximus","no","no","yes","Shea et al. 2025",NA,"turbot","no","yes","FRA"
113,"France","whiting","merlangius merlangus","no","no","yes","Shea et al. 2025",NA,"whiting","no","yes","FRA"
113,"France","john dory","zeus faber","no","no","yes","Shea et al. 2025",NA,"john dory","no","yes","FRA"
113,"France","haddock","melanogrammus aeglefinus","no","no","yes","Shea et al. 2025",NA,"haddock","no","yes","FRA"
113,"France","red mullet","mullus surmuletus","no","no","yes","Shea et al. 2025",NA,"red mullet","no","yes","FRA"
113,"France","scallop","pecten maximus","no","no","yes","Shea et al. 2025",NA,"scallop","no","yes","FRA"
113,"France","european sardine","sardina pilchardus","no","no","yes","Shea et al. 2025",NA,"european sardine","no","yes","FRA"
113,"France","sole","solea solea","no","no","yes","Shea et al. 2025",NA,"sole","no","yes","FRA"
113,"France","squid","loligo vulgaris","no","no","yes","Shea et al. 2025",NA,"squid","no","yes","FRA"
114,"Gambia","flat sardinella","sardinella maderensis","no","yes","no","Shea et al. 2025",NA,"flat sardinella","no","yes","GMB"
114,"Gambia","bonga shad","ethmalosa fimbriata","no","yes","no","Shea et al. 2025",NA,"bonga shad","no","yes","GMB"
114,"Gambia","round sardinella","sardinella aurita","no","yes","no","Shea et al. 2025",NA,"round sardinella","no","yes","GMB"
115,"Gambia","flat sardinella","sardinella maderensis","no","yes","no","Shea et al. 2025",NA,"flat sardinella","no","yes","GMB"
115,"Gambia","bonga shad","ethmalosa fimbriata","no","yes","no","Shea et al. 2025",NA,"bonga shad","no","yes","GMB"
115,"Gambia","round sardinella","sardinella aurita","no","yes","no","Shea et al. 2025",NA,"round sardinella","no","yes","GMB"
