"common_name","sciname","Species name from report/literature","source_country_name","source_country_iso3c","processor_iso3c","wholefish","trimmings","Proportion of production which is trimmings derived","Source"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Colombia","COL","FRA","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Colombia","COL","GBR","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Colombia","COL","GRC","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Colombia","COL","NOR","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Colombia","COL","TUR","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Colombia","COL","VNM","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Ecuador","ECU","AUS","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Ecuador","ECU","CHL","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Ecuador","ECU","CHN","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Ecuador","ECU","CRI","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Ecuador","ECU","DNK","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Ecuador","ECU","ECU","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Ecuador","ECU","ESP","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Ecuador","ECU","FRA","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Ecuador","ECU","GBR","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Ecuador","ECU","GRC","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Ecuador","ECU","NOR","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Ecuador","ECU","TUR","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Ecuador","ECU","VNM","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Peru","PER","AUS","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Peru","PER","CHL","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Peru","PER","CHN","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Peru","PER","CRI","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Peru","PER","DNK","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Peru","PER","ECU","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Peru","PER","ESP","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Peru","PER","FRA","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Peru","PER","GBR","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Peru","PER","GRC","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Peru","PER","NOR","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Peru","PER","TUR","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Peru","PER","VNM","yes","yes",0.11,"Biomar 2023"
"atlantic herring","clupea harengus","Atlantic Herring","Belgium","BEL","AUS","yes","yes",0.78,"Biomar 2023"
"atlantic herring","clupea harengus","Atlantic Herring","Belgium","BEL","CHL","yes","yes",0.78,"Biomar 2023"
"atlantic herring","clupea harengus","Atlantic Herring","Belgium","BEL","CHN","yes","yes",0.78,"Biomar 2023"
"atlantic herring","clupea harengus","Atlantic Herring","Belgium","BEL","CRI","yes","yes",0.78,"Biomar 2023"
"atlantic herring","clupea harengus","Atlantic Herring","Belgium","BEL","DNK","yes","yes",0.78,"Biomar 2023"
"atlantic herring","clupea harengus","Atlantic Herring","Belgium","BEL","ECU","yes","yes",0.78,"Biomar 2023"
"atlantic herring","clupea harengus","Atlantic Herring","Belgium","BEL","ESP","yes","yes",0.78,"Biomar 2023"
"atlantic herring","clupea harengus","Atlantic Herring","Belgium","BEL","FRA","yes","yes",0.78,"Biomar 2023"
"atlantic herring","clupea harengus","Atlantic Herring","Belgium","BEL","GBR","yes","yes",0.78,"Biomar 2023"
"atlantic herring","clupea harengus","Atlantic Herring","Belgium","BEL","GRC","yes","yes",0.78,"Biomar 2023"
"atlantic herring","clupea harengus","Atlantic Herring","Belgium","BEL","NOR","yes","yes",0.78,"Biomar 2023"
"atlantic herring","clupea harengus","Atlantic Herring","Belgium","BEL","TUR","yes","yes",0.78,"Biomar 2023"
